rel_path	success	n_rec	vl_const_onset	flag
worker1/OvenRack/out-left/s0/j0/n4/base	1	49		OK
worker1/OvenRack/out-left/s0/j1/n0/base	1	57		OK
worker1/OvenRack/out-left/s0/j1/n1/base	1	54		OK
worker1/DishwasherRack/out-right/s2/j4/n2/base	1	92		OK
worker1/DishwasherRack/out-right/s2/j4/n3/base	0	144		OK
worker1/OvenRack/out-left/s0/j1/n2/base	1	58		OK
worker1/OvenRack/out-left/s0/j1/n3/base	1	51		OK
worker1/OvenRack/out-left/s0/j0/n1/base	0	144		OK
worker1/OvenRack/out-left/s0/j0/n2/base	1	51		OK
worker1/OvenRack/out-left/s0/j1/n4/base	1	52		OK
worker1/OvenRack/out-left/s0/j2/n0/base	1	89		OK
worker1/OvenRack/out-left/s0/j2/n1/base	1	60		OK
worker1/OvenRack/out-left/s0/j2/n2/base	1	52		OK
worker1/OvenRack/out-left/s0/j3/n0/base	1	99		OK
worker1/OvenRack/out-left/s0/j3/n1/base	1	56		OK
worker1/OvenRack/out-left/s0/j3/n4/base	1	53		OK
worker1/OvenRack/out-left/s0/j4/n0/base	1	56		OK
worker1/OvenRack/out-left/s0/j3/n2/base	1	56		OK
worker1/OvenRack/out-left/s0/j3/n3/base	1	60		OK
worker1/OvenRack/out-left/s0/j2/n3/base	1	143		OK
worker1/OvenRack/out-left/s0/j2/n4/base	1	50		OK
worker1/OvenRack/out-left/s0/j4/n1/base	1	56		OK
worker1/OvenRack/out-left/s0/j4/n2/base	1	52		OK
worker1/OvenRack/out-left/s0/j4/n3/base	0	144		OK
worker1/OvenRack/out-left/s0/j4/n4/base	1	61		OK
worker1/OvenRack/out-left/s1/j0/n0/base	0	144		OK
worker1/OvenRack/out-left/s1/j0/n1/base	0	144		OK
worker1/OvenRack/out-left/s1/j0/n2/base	0	144		OK
worker1/OvenRack/out-left/s1/j0/n3/base	0	144		OK
worker1/OvenRack/out-left/s1/j0/n4/base	0	144		OK
worker1/OvenRack/out-left/s1/j1/n0/base	1	139		OK
worker1/OvenRack/out-left/s1/j1/n3/base	1	69		OK
worker1/OvenRack/out-left/s1/j1/n4/base	1	77		OK
worker1/OvenRack/out-left/s1/j1/n1/base	0	144		OK
worker1/OvenRack/out-left/s1/j1/n2/base	1	81		OK
worker1/OvenRack/out-left/s1/j3/n1/base	1	83		OK
worker1/OvenRack/out-left/s1/j3/n2/base	1	68		OK
worker1/OvenRack/out-left/s1/j2/n0/base	0	144		OK
worker1/OvenRack/out-left/s1/j2/n1/base	0	144		OK
worker1/OvenRack/out-left/s1/j2/n4/base	0	144		OK
worker1/OvenRack/out-left/s1/j3/n0/base	1	88		OK
worker1/OvenRack/out-left/s1/j2/n2/base	1	143		OK
worker1/OvenRack/out-left/s1/j2/n3/base	1	128		OK
